"","4dpa_1","4dpa_2","1dpa_1","1dpa_2","0dpa_1","0dpa_2"
"and1",5.39498488863656,5.01070568870954,-2.4622553274837,-2.58397297770152,-2.38611815046323,-2.97334412169765
"enam",4.44721514151144,4.35059655856409,-2.07546765437967,-1.92623302567073,-2.05787315660737,-2.73823786341776
"and2",5.14334841983763,4.99625072499505,-2.58212486895344,-2.75725265833197,-1.74612403020118,-3.05409758734608
"ENSDARG00000105274",4.07145224202467,3.77574136171878,-1.95464423822727,-1.58202814960582,-1.94221331057884,-2.36830790533152
"LOC100005175",-0.765397042953158,-0.778896138802221,3.66170402343799,3.57034471036116,-2.69472417575561,-2.99303137628817
"wfikkn2b",3.48428312499852,3.0713402777568,-2.01551146874798,-1.85927653686226,-1.94778508421647,-0.733050312928606
"ENSDARG00000117174",3.47642086381437,3.55116852463439,-0.575759206868652,-0.788804918869083,-3.15029309196949,-2.51273217074153
"jac4",-0.929517660697077,-0.585015117722275,3.49668872194561,3.60785676470447,-2.58830328113797,-3.00170942709276
"LOC100005220",-2.03907708841732,-0.480392522160061,4.03425962940389,3.93811533370736,-2.61948661212454,-2.83341874040933
"ENSDARG00000116179",4.10518846252157,4.38183792080228,-1.24701355916569,-1.04075907096426,-4.07320939420772,-2.12604435898618
"ENSDARG00000114910",3.90843388881884,4.01771792888057,-1.03948106568781,-0.824153946734645,-3.79252445225938,-2.26999235301758
"col6a4a",2.07231014793302,1.66315671073547,-1.79897700287482,-2.00481485654585,-0.0907511443115805,0.159076145063763
"ntrnl2",-0.995838535909387,-0.51715437122128,3.63599346335303,3.75430498271373,-2.52472019453422,-3.35258534440187
"LOC100005129",-0.584989890027442,-0.457353694876157,3.52149866233992,3.47975635525735,-2.61921266378106,-3.33969876891262
"teni.1",-1.24771318036464,-1.49775527089839,3.55083311862095,3.02526547469741,-1.8385899412729,-1.99204020078243
"col11a2",1.97764892702299,1.67398001024645,-1.62799316777859,-1.67655008016838,-0.503922170661503,0.156836481339029
"LOC569153",-0.950175099200564,-0.197228516192798,3.81557853566014,3.76609907805722,-2.57376871906054,-3.86050527926345
"col10a1a",1.50722883380264,1.34972613131225,-2.21013970123991,-2.20164896062895,1.34042402941974,0.214409667334239
"panx3",1.81700112572221,1.53237091082069,-1.51524910575249,-1.85974710035653,0.284389523016613,-0.258765353450487
"ednrbb",-0.845865268934292,-1.24627888145418,3.08834905826431,2.92545657781712,-1.70206136387494,-2.21960012181801
"fam167b",-1.36245815904374,-0.88485725707524,2.15191038030177,2.1462185615038,-1.18061539677791,-0.870198128908686
"lamb1a",2.70302031433021,2.55691694220205,-0.275557211115776,-0.533493661325813,-2.32039338397266,-2.130493000118
"LOC100005356",-0.538091063899891,-1.21126470721618,3.69147111781647,3.71015273952763,-2.02017115813729,-3.63209692809073
"ENSDARG00000111458",3.64645407691236,3.47348841633999,-0.403223006565703,-0.504891849289796,-4.02382627410205,-2.1880013632948
"cst14b.2",-0.725627713290258,-1.00377973455769,2.73467373019317,2.31793185336465,-1.60057015666935,-1.72262797904052
"mmp15a",2.50834208475109,1.97621589218407,-0.821254288219429,-0.861441980020851,-1.51644887496258,-1.28541283373229
"smpd3",2.74547312821997,2.51198880076917,-1.61113428697364,-1.08672656793347,-1.93068750874271,-0.628913565339321
"LOC101886910",-1.1902436416202,-0.670315492051455,2.45096444238666,2.26071562046274,-1.22172332418049,-1.62939760499726
"mafa",2.26944386247725,1.73473344004609,-1.22316250952051,-0.995563782233576,-0.794866472048959,-0.990584538720302
"timp2b",-0.327504779023155,-0.633555895032752,2.73039672731262,2.47598435043866,-1.95785665783167,-2.2874637458637
"phospho1",2.1561182571226,2.27382021342126,-0.760082536641881,-1.39227334084137,-1.29905497760866,-0.97852761545195
"ENSDARG00000103750",2.94249921366243,2.23490806966371,-0.636467455576227,-1.60459236124291,-1.54834889700978,-1.38799856949724
"ccdc3b",1.10675306496006,0.894363698283987,-1.86627325268215,-1.68401628756473,0.827885948536839,0.721286828465987
"ogna",1.87856257156805,1.52863201023075,-1.1731459019032,-1.54279767904632,-0.00206753294957451,-0.6891834678997
"entpd5a",0.502297631654493,0.65212797802771,-2.19443586188511,-2.22605820962254,1.95521412229554,1.3108543395299
"krt93",-0.815654176831194,-0.191617226028265,2.74324146560304,2.33094609592992,-1.82079555684141,-2.24612060183209
"bhlha9",-1.16602751541471,-2.56845925565473,2.65370719571305,3.1484001453259,-0.841019197218617,-1.2266013727509
"adamts17",2.30044120701254,1.94655058714455,-0.94184874316157,-1.13393278591619,-1.43973091981298,-0.731479345266342
"frem1a",2.19923086696896,2.29040822627819,-1.01203035450979,-0.862343766423909,-1.23189917061261,-1.38336580170083
"sgms2a",1.46508224658234,1.23275394683229,-1.55876725294192,-1.45336181195068,0.423001890729911,-0.108709019251938
"ifitm5",1.00892449629447,0.866325156575531,-2.33503774594841,-1.93277116038264,1.68090528289475,0.711653970566294
"si:ch211-252f13.5",2.66743249146526,2.25672001714933,-1.31881862559237,-1.23438343026782,-2.03684508078724,-0.334105371967168
"tpm4a",-1.29340999236503,-1.51569353226525,1.78651065019339,1.74287639432714,0.128970887138896,-0.849254407029147
"ENSDARG00000116751",2.91066854621698,2.26845175909499,-0.856151201605393,-0.568048591763847,-2.43461053588008,-1.32030997606265
"col1a1a",1.68298383966382,1.38279014229465,-1.0148332487178,-1.14812226389815,-0.469391658680076,-0.433426810662445
"krt18a.1",-1.41037629444118,-1.41015982290372,1.97820887507044,2.01459137888937,0.159565081844791,-1.3318292184597
"cxl34c",-0.738372668174208,-0.0575235833933272,2.85838844963569,2.66042787734803,-2.17433295443578,-2.54858712098041
"col10a1b",1.0640023572094,0.902079900460137,-1.64835859387802,-1.55789672580566,0.796714380619855,0.443458681394283
"lama5",2.12407702954574,1.58194566860885,-1.00546522269968,-0.789830448569973,-1.14328964314928,-0.767437383735648
"fosl1a",-2.25060837871145,-1.85292523150779,0.777758892567811,0.812393824035003,1.41381390719837,1.09956698641805
